Amphibian,Prevent,African clawed frog ,Xenopus,laevis
Disease,Prevent,"Infectious amphibian & reptile diseases (e.g. Chytrid diseases, ranaviruses, snake fungal disease)",Multiple,Multiple
Fish,Prevent,American shad,Alosa,sapidissima
Fish,Prevent,Amur goby,Rhinogobius,brunneus
Fish,Prevent,Bighead carp,Hypophthalmichthys ,nobilis
Fish,Prevent,Black carp,Mylopharyngodon ,piceus
Fish,Prevent,Channel catfish,Ictalurus,punctatus
Fish,Prevent,Grass carp,Ctenopharyngodon,idella
Fish,Prevent,Monkey goby,Neogobius,fluviatilis
Fish,Prevent,Muskellunge,Esox,masquinongy
Fish,Prevent,Prussian carp,Carassius ,gibelio
Fish,Prevent,Rock bass,Ambloplites,rupestris
Fish,Prevent,Round goby,Neogobius,melanostomus
Fish,Prevent,Silver carp,Hypophthalmichthys ,molitrix
Fish,Prevent,Blotched Snakehead,Channa ,maculata
Fish,Prevent,Northern Snakehead,Channa ,argus
Fish,Prevent,Rainbow Snakehead,Channa ,bleheri
Fish,Prevent,Giant Snakehead,Channa ,micropeltes
Fish,Prevent,Striped Snakehead,Channa ,striata
Fish,Prevent,Spottail shiner (native in northeastern BC),Notropis,hudsonius
Fish,Prevent,Tubenose goby,Proterorhinus,semilunaris
Fish,Prevent,Tui chub,Gila,bicolor
Fish,Prevent,Warmouth,Lepomis,gulosus
Fish,Prevent,White cloud mountain minnow,Tanichthys,albonubes
Fish,Prevent,White crappie,Pomoxis ,annularis
Insects and spiders,Prevent,Spotted lantern fly,Lycorma ,delicatula
Other invertebrates,Prevent,Apple snail,Pomacea,canaliculata
Other invertebrates,Prevent,Conrad's false mussel,Mytilopsis,leucophaeata
Other invertebrates,Prevent,Golden mussel,Limnoperna,fortunei
Other invertebrates,Prevent,Marbled crayfish,Procambarus ,fallax f. virginalis
Other invertebrates,Prevent,Ringed crayfish,Faxonius,neglectus
Other invertebrates,Prevent,Rusty crayfish,Faxonius,rusticus
Other invertebrates,Prevent,Spiny waterflea,Bythotrephes ,longimanus
Other invertebrates,Prevent,Quagga mussel,Dreissena,bugensis
Other invertebrates,Prevent,Zebra mussel,Dreissena,polymorpha
Mammal,Prevent,Nutria,Myocastor ,coypus 
Plant,Prevent,African rue,Peganum,harmala
Plant,Prevent,Camelthorn,Alhagi,maurorum
Plant,Prevent,Common crupina,Crupina ,vulgaris
Plant,Prevent,"Cordgrass, Smooth",Spartina ,alterniflora
Plant,Prevent,Halogeton/Saltlover,Halogeton ,glomeratus
Plant,Prevent,Hydrilla,Hydrilla ,verticillata
Plant,Prevent,Iberian starthistle,Centaurea ,iberica
Plant,Prevent,Italian thistle,Carduus ,pycnocephalus
Plant,Prevent,Johnsongrass,Sorghum ,halepense
Plant,Prevent,Kudzu,Pueraria ,montana var. lobata
Plant,Prevent,Mediterranean sage,Salvia ,aethiopis
Plant,Prevent,Medusahead,Taeniatherum,caput-medusae
Plant,Prevent,Purple nutsedge,Cyperus,rotundus
Plant,Prevent,Purple starthistle,Centaurea ,calcitrapa
Plant,Prevent,Red bartsia ,Odontites ,serotina
Plant,Prevent,Silverleaf nightshade,Solanum,elaeagnifolium
Plant,Prevent,Slender/Meadow foxtail,Alopecurus ,myosuroides
Plant,Prevent,Slenderflower thistle,Carduus ,tenuiflorus
Plant,Prevent,Spring milletgrass,Milium ,vernale
Plant,Prevent,Spurge flax,Thymelaea ,passerina
Plant,Prevent,Squarrose knapweed,Centaurea ,virgata
Plant,Prevent,Syrian bean-caper,Zygophyllum ,fabago
Plant,Prevent,Texas blueweed,Helianthus ,ciliaris
Plant,Prevent,Water soldier,Stratiotes ,aloides
Plant,Prevent,Yellow starthistle,Centaurea ,solstitialis
Reptile,Prevent,Italian wall lizard,Podarcis ,siculus
Reptile,Prevent,Spiny Softshell Turtle,Apalone,spinifera
Reptile,Prevent,Florida Softshell Turtle,Apalone,ferox
Reptile,Prevent,Smooth Softshell Turtle,Apalone,mutica
Reptile,Prevent,Chinese Softshell Turtle,Pelodiscus,sinensis
Disease,Provincial EDRR,White Nose Syndrome (WNS) - bats,Pseudogymnoascus ,destructans
Fish,Provincial EDRR,Green sunfish,Lepomis,cyanellus
Fish,Provincial EDRR,Rosy red minnow (or Fat head minnow),Pimephales ,promelas
Fish,Provincial EDRR,Western mosquitofish,Gambusia,affinis
Insects and spiders,Provincial EDRR,Argentine ant,Linepithema,humile
Insects and spiders,Provincial EDRR,Asian needle ant,Brachyponera,chinensis
Insects and spiders,Provincial EDRR,Asian long-horned beetle,Anoplophora ,glabripennis
Insects and spiders,Provincial EDRR,Emerald ash borer,Agrilus,planipennis
Insects and spiders,Provincial EDRR,Japanese beetle ,Popillia ,japonica 
Insects and spiders,Provincial EDRR,Northern giant hornet,Vespa ,mandarinia
Insects and spiders,Provincial EDRR,European Spongy moth,Lymantria ,umbrosa
Insects and spiders,Provincial EDRR,Asian Spongy moth,Lymantria ,dispar
Other invertebrates,Provincial EDRR,European brown garden snail,Cornu,aspersum
Other invertebrates,Provincial EDRR,Red swamp crayfish,Procambarus ,clarkii
Other invertebrates,Provincial EDRR,Virile crayfish,Faxonius,virilis
Mammal,Provincial EDRR,Feral pig,Sus ,scrofa
Plant,Provincial EDRR,Black henbane,Hyoscyamus ,niger
Plant,Provincial EDRR,Brazilian elodea/Waterweed,Egeria ,densa
Plant,Provincial EDRR,"Broom, French",Genista,monspessulana
Plant,Provincial EDRR,"Cordgrass, dense-flower",Spartina ,densiflora
Plant,Provincial EDRR,"Cordgrass, salt meadow",Spartina ,patens
Plant,Provincial EDRR,"Cordgrass, Common/English",Spartina ,anglica
Plant,Provincial EDRR,Dyer's woad,Isatis ,tinctoria
Plant,Provincial EDRR,Eggleaf spurge,Euphorbia ,oblongata
Plant,Provincial EDRR,European common reed,Phragmites ,australis subsp. australis
Plant,Provincial EDRR,Flowering rush,Butomus ,umbellatus
Plant,Provincial EDRR,Giant reed,Arundo ,donax
Plant,Provincial EDRR,Giant Salvinia,Salvinia ,molesta
Plant,Provincial EDRR,Goatsrue,Galega ,officinalis
Plant,Provincial EDRR,Jointed goatgrass,Aegilops ,cylindrica
Plant,Provincial EDRR,Mouse-ear hawkweed,Hieracium,pilosella
Plant,Provincial EDRR,Paterson's Curse,Echium ,plantagineum
Plant,Provincial EDRR,Perennial pepperweed,Lepidium ,latifolium
Plant,Provincial EDRR,Slender false-brome,Brachypodium ,sylvaticum 
Plant,Provincial EDRR,Water hyacinth,Eichhornia ,crassipes
Plant,Provincial EDRR,Water lettuce,Pistia ,stratiotes
Plant,Provincial EDRR,Yellow floating heart,Nymphoides ,peltata
Fungus,Provincial Containment,Death cap mushroom,Amanita ,phalloides
Insects and spiders,Provincial Containment,Apple maggot,Rhagoletis,pomonella
Mammal,Provincial Containment,Fallow deer,Dama ,dama
