Element Code,Scientific Name,English Name,Biogeoclimatic Units,Provincial,BC List,Global,COSEWIC,SARA,Provincial FRPA,Land Use Objectives,CDC Mapped Locations - Public,CDC Mapped Locations - Confidential
IILEYHP030,Polia nimbosa,Stormy Arches Moth,,S4S5 (2020),Not Reviewed,G5 (2017),,,,,,
IILEYHP090,Polia nugatis,,,S3S5 (2020),Not Reviewed,GNR,,,,,,
IILEYHP020,Polia piniae,,,S4S5 (2020),Not Reviewed,GNR,,,,,,
IILEYHP210,Polia propodea,,,S4S5 (2020),Not Reviewed,GNR,,,,,,
IILEYHP080,Polia purpurissata,Purple Arches Moth,,S4S5 (2020),Not Reviewed,G5 (2016),,,,,,
IILEYHP070,Polia richardsoni,,,S3S5 (2020),Not Reviewed,G5 (2018),,,,,,
IILEYHP050,Polia rogenhoferi,,,S3S5 (2020),Not Reviewed,GNR,,,,,,
IICOLSY0L0,Poliaenus oregonus,A Longhorn Beetle,,S3S5 (2023),Blue,GNR,,,,,,
ABPBJ08010,Polioptila caerulea,Blue-gray Gnatcatcher,,SNA (2024),Accidental,G5 (2016),,,,,,
IIHYM42030,Polistes aurifer,Golden Paper Wasp,,S4 (2017),Not Reviewed,GNR,,,,,,
IIHYM42020,Polistes dominula,European Paper Wasp,,SNA (2017),Exotic,GNR,,,,,,
IILEP66040,Polites draco,Draco Skipper,BAFA; BWBS; ESSF; IMA; SBS; SWB,S3 (2020),Blue,G5 (2021),,,,,,
IILEP66080,Polites mystic,Long Dash,,S4? (2020),Yellow,G5 (2020),,,,,,
IILEP66010,Polites peckius,Peck's Skipper,,S4 (2020),Yellow,G5 (2021),,,,,,
IILEP66020,Polites sabuleti,Sandhill Skipper,BG; ESSF; ICH; IDF; MS; PP,S2 (2020),Red,G4 (2023),,,,,Y,
IILEP66090,Polites sonora,Sonora Skipper,BG; ESSF; IDF; IMA; MS; PP,S3 (2020),Blue,G4 (2020),NAR,,Y,,Y,Y
IILEP66060,Polites themistocles,Tawny-edged Skipper,,S4S5 (2020),Yellow,G5 (2021),,,,,,
IILEP66061,Polites themistocles themistocles,"Tawny-edged Skipper, themistocles subspecies",ESSF; ICH; IDF; IMA; MS; PP,S2S3 (2023),Blue,G5TNR,,,,,,
IILEP66062,Polites themistocles turneri,"Tawny-edged Skipper, turneri subspecies",,S5 (2023),Yellow,G5T5 (2015),,,,,,
