Element Code,Scientific Name,English Name,Biogeoclimatic Units,Provincial,BC List,Global,COSEWIC,SARA,Provincial FRPA,Land Use Objectives,CDC Mapped Locations - Public,CDC Mapped Locations - Confidential
IZSPN20010,Aaptos simplex,Simple Horny Sponge,,SNR,Not Reviewed,GNR,,,,,,
IILEYM9250,Abagrotis apposita,,,S4S5 (2020),Not Reviewed,GNR,,,,,,
IILEYM9160,Abagrotis baueri,,,S3S5 (2020),Not Reviewed,GNR,,,,,,
IILEYM9370,Abagrotis brunneipennis,The Yankee Dart,,S3S4 (2020),Not Reviewed,G4 (1999),,,,,,
IILEYM9310,Abagrotis cupida,Cupid Dart Moth,,S2S4 (2020),Not Reviewed,G4 (1999),,,,,,
IILEYM9430,Abagrotis dickeli,,,S3S4 (2020),Not Reviewed,GNR,,,,,,
IILEYM9230,Abagrotis discoidalis,,,S2S4 (2020),Not Reviewed,GNR,,,,,,
IILEYM9300,Abagrotis dodi,,,S3S5 (2020),Not Reviewed,GNR,,,,,,
IILEYM9270,Abagrotis duanca,Dark Dart Moth,,S3S4 (2020),Not Reviewed,G4 (1987),,,,,,
IILEYM9010,Abagrotis erratica,,,S3S4 (2020),Not Reviewed,GNR,,,,,,
IILEYM9440,Abagrotis forbesi,,,S3S5 (2020),Not Reviewed,GNR,,,,,,
IILEYM9100,Abagrotis glenni,,,S3S4 (2020),Not Reviewed,GNR,,,,,,
IILEYM9420,Abagrotis hermina,,,S3S5 (2020),Not Reviewed,GNR,,,,,,
IILEYM9070,Abagrotis mirabilis,,,S4S5 (2020),Not Reviewed,GNR,,,,,,
IILEYM9260,Abagrotis nanalis,Nanalis Dart Moth,,S3S4 (2020),Not Reviewed,G4 (1987),,,,,,
IILEYM9450,Abagrotis nefascia,Coastal Heathland Cutworm Moth,,S3S4 (2020),Not Reviewed,G4 (1999),,,,,,
IILEYM9150,Abagrotis orbis,Well-marked Cutworm Moth,,S3S4 (2020),Not Reviewed,G5 (2002),,,,,,
IILEYM9290,Abagrotis placida,,,S4S5 (2020),Not Reviewed,G5 (2017),,,,,,
IILEYM9240,Abagrotis pulchrata,,,S3S4 (2020),Not Reviewed,GNR,,,,,,
IILEYM9280,Abagrotis reedi,Reed's Dart Moth,,S4S5 (2020),Not Reviewed,G5 (2003),,,,,,
IILEYM9210,Abagrotis scopeops,,,S4S5 (2020),Not Reviewed,GNR,,,,,,
IILEYM9060,Abagrotis trigona,Luteus Dart Moth,,S4S5 (2020),Not Reviewed,G4 (2002),,,,,,
IILEYM9180,Abagrotis turbulenta,,,S3S4 (2020),Not Reviewed,GNR,,,,,,
IILEYM9200,Abagrotis variata,,,S3S5 (2020),Not Reviewed,GNR,,,,,,
IILEYM9040,Abagrotis vittifrons,Pale-edged Dart Moth,,S4S5 (2020),Not Reviewed,G5 (2003),,,,,,
IICOLQZ250,Abdera firma,A False Darkling Beetle,,SU (2023),Not Reviewed,GNR,,,,,,
PGPIN01010,Abies amabilis,amabilis fir,,S5 (2019),Yellow,G5 (2015),,,,,,
C1A9CAAOH1,Abies amabilis - Picea sitchensis / Oplopanax horridus,amabilis fir - Sitka spruce / devil's club,CWHvm1/08; CWHvm2/08,S3? (2021),Blue,GNR,N/A,N/A,,,Y,
C1A9CAAGD1,Abies amabilis - Thuja plicata / Gymnocarpium dryopteris,amabilis fir - western redcedar / oak fern,CWHms1/04; CWHms2/04; CWHws1/04; CWHws2/04,S3 (2004),Blue,GNR,N/A,N/A,,,,
C1A9CATOH1,Abies amabilis - Thuja plicata / Oplopanax horridus Moist Submaritime,amabilis fir - western redcedar / devil's club Moist Submaritime,CWHms1/06; CWHms2/06; CWHws1/06,S3 (2004),Blue,G3G4,N/A,N/A,,,,
C2A2BATOH1,Abies amabilis - Thuja plicata / Oplopanax horridus Wet Submaritime,amabilis fir - western redcedar / devil's club Wet Submaritime,CWH/F103; CWHws2/06,S4 (2004),Yellow,GNR,N/A,N/A,,,,
C2A2BAARS1,Abies amabilis - Thuja plicata / Rubus spectabilis Moist Maritime 1,amabilis fir - western redcedar / salmonberry Moist Maritime 1,CWHmm1/07,S2 (2019),Red,G3G4,N/A,N/A,,South Central Coast LUO,,
C2A2BAARS2,Abies amabilis - Thuja plicata / Rubus spectabilis Moist Maritime 2,amabilis fir - western redcedar / salmonberry Moist Maritime 2,CWHmm2/08,S2S3 (2004),Blue,G3G4,N/A,N/A,,,,
C1A9CAARS1,Abies amabilis - Thuja plicata / Rubus spectabilis Very Wet Maritime,amabilis fir - western redcedar / salmonberry Very Wet Maritime,CWHvm1/07; CWHvm2/07,S3 (2019),Blue,GNR,N/A,N/A,,,,
C1A9CAATT2,Abies amabilis - Thuja plicata / Tiarella trifoliata Moist Maritime 1,amabilis fir - western redcedar / three-leaved foamflower Moist Maritime 1,CWHmm1/05,S2 (2019),Red,G2 (2005),N/A,N/A,,South Central Coast LUO,,
C1A9CAATT1,Abies amabilis - Thuja plicata / Tiarella trifoliata Very Wet Maritime,amabilis fir - western redcedar / three-leaved foamflower Very Wet Maritime,CWHmm2/05; CWHvm1/05; CWHvm2/05,S3? (2020),Blue,G3G4,N/A,N/A,,,,
C2A2BAAGD1,Abies amabilis - Tsuga mertensiana / Gymnocarpium dryopteris Moist Maritime 1,amabilis fir - mountain hemlock / oak fern Moist Maritime 1,MHmm1/03,S4 (2004),Yellow,G4G5,N/A,N/A,,,,
C2A2BAAGD2,Abies amabilis - Tsuga mertensiana / Gymnocarpium dryopteris Moist Maritime 2,amabilis fir - mountain hemlock / oak fern Moist Maritime 2,MHmm2/03,S4 (2001),Yellow,GNR,N/A,N/A,,,,
C1A9CAASR1,Abies amabilis - Tsuga mertensiana / Streptopus lanceolatus,amabilis fir - mountain hemlock / rosy twistedstalk,MHmm1/05; MHmm2/05,S4 (2005),Yellow,G4G5,N/A,N/A,,,,
PGPIN01060,Abies grandis,grand fir,,S5 (2019),Yellow,G5 (2016),,,,,,
C1A9CAGMN1,Abies grandis / Mahonia nervosa,grand fir / dull Oregon-grape,CDFmm/04,S1 (2009),Red,G1,N/A,N/A,,,Y,
C1A9CAGTT1,Abies grandis / Tiarella trifoliata,grand fir / three-leaved foamflower,CDFmm/06,S1 (2013),Red,G1,N/A,N/A,,,Y,
PGPIN010E0,Abies lasiocarpa,subalpine fir,,S5 (2019),Yellow,G5 (2016),,,,,,
CEBC000201,Abies lasiocarpa - Abies amabilis / Athyrium filix-femina,subalpine fir - amabilis fir / lady fern,ESSFmw/07,S4 (2001),Yellow,GNR,N/A,N/A,,,,
CEBC000196,Abies lasiocarpa - Abies amabilis / Rhododendron albiflorum,subalpine fir - amabilis fir / white-flowered rhododendron,ESSFmw/01,S5 (2001),Yellow,GNR,N/A,N/A,,,,
CEBC000199,Abies lasiocarpa - Abies amabilis - Tsuga mertensiana / Menziesia ferruginea,subalpine fir - amabilis fir - mountain hemlock / false azalea,ESSFmw/05,S5 (2001),Yellow,GNR,N/A,N/A,,,,
CEBC000014,Abies lasiocarpa / Athyrium filix-femina - Equisetum spp.,subalpine fir / lady fern - horsetails,ESSFmk/07; ESSFwk1/07; ESSFwv/09,S4 (2001),Yellow,GNR,N/A,N/A,,,,
CEBC000493,Abies lasiocarpa / Cladina spp. - Cladonia spp.,subalpine fir / reindeer lichens - clad lichens,ESSFmm1/03,S1 (2021),Red,GNR,N/A,N/A,,,,
CEBC000773,Abies lasiocarpa / Gymnocarpium dryopteris / Dicranum spp.,subalpine fir / oak fern / heron's-bill mosses,ESSFmc/06; ESSFwv/05,S5 (2001),Yellow,GNR,N/A,N/A,,,,
CEBC003004,Abies lasiocarpa / Gymnocarpium dryopteris - Equisetum spp.,subalpine fir / oak fern / horsetails,ESSFmw/08; ESSFwc2/08; ESSFwk2/06,S5 (2004),Yellow,GNR,N/A,N/A,,,,
CEBC000009,Abies lasiocarpa / Gymnocarpium dryopteris / Ptilium crista-castrensis,subalpine fir / oak fern / knight's plume,ESSFmv2/04; ESSFmv3/04; ESSFwk1/01; ESSFwk1/03; ESSFwk2/01; ESSFwk2/02; ESSFwk2/03,S5 (2001),Yellow,GNR,N/A,N/A,,,,
CEBC000495,Abies lasiocarpa / Gymnocarpium dryopteris - Rubus pedatus,subalpine fir / oak fern - five-leaved bramble,ESSFmm1/05,S4 (2001),Yellow,GNR,N/A,N/A,,,,
CEBC000197,Abies lasiocarpa / Juniperus communis / Cladonia spp.,subalpine fir / common juniper / clad lichens,ESSFmc/02; ESSFmw/02,S4 (2002),Yellow,GNR,N/A,N/A,,,,
CEBC000012,Abies lasiocarpa / Lonicera involucrata / Athyrium filix-femina,subalpine fir / black twinberry / lady fern,ESSFwk1/04,S4 (2001),Yellow,GNR,N/A,N/A,,,,
CEBC000345,Abies lasiocarpa / Menziesia ferruginea / Equisetum arvense,subalpine fir / false azalea / common horsetail,ESSFdk1/05; ESSFdk1/06,S5 (2001),Yellow,GNR,N/A,N/A,,,,
CEBC000217,Abies lasiocarpa / Menziesia ferruginea / Pleurozium schreberi,subalpine fir / false azalea / red-stemmed feathermoss,ESSFwc2/05,S4 (2001),Yellow,GNR,N/A,N/A,,,,
CEBC000494,Abies lasiocarpa / Menziesia ferruginea - Rhododendron albiflorum,subalpine fir / false azalea - white-flowered rhododendron,ESSFmm1/04,S5 (2001),Yellow,GNR,N/A,N/A,,,,
CEBC000368,Abies lasiocarpa / Menziesia ferruginea / Rhytidiopsis robusta,subalpine fir / false azalea / pipecleaner moss,ESSFwm/01; ESSFwm/04,S5 (2001),Yellow,GNR,N/A,N/A,,,,
CEBC000491,Abies lasiocarpa / Menziesia ferruginea - Ribes lacustre,subalpine fir / false azalea - black gooseberry,ESSFmm1/01,S5 (2001),Yellow,GNR,N/A,N/A,,,,
CEBC000344,Abies lasiocarpa / Menziesia ferruginea - Shepherdia canadensis,subalpine fir / false azalea - soopolallie,ESSFdk1/04,S5 (2001),Yellow,GNR,N/A,N/A,,,,
CEBC000341,Abies lasiocarpa / Menziesia ferruginea / Tiarella trifoliata,subalpine fir / false azalea / three-leaved foamflower,ESSFdk1/01,S5 (2001),Yellow,GNR,N/A,N/A,,,,
CEBC000343,Abies lasiocarpa / Menziesia ferruginea / Vaccinium scoparium,subalpine fir / false azalea / grouseberry,ESSFdk1/03,S5 (2001),Yellow,GNR,N/A,N/A,,,,
CEBC000013,Abies lasiocarpa / Oplopanax horridus / Athyrium filix-femina,subalpine fir / devil's club / lady fern,ESSFmc/07; ESSFmk/05; ESSFmm1/06; ESSFvc/04; ESSFwc1/03; ESSFwc2/07; ESSFwk1/05; ESSFwv/06,S5 (2001),Yellow,GNR,N/A,N/A,,,,
CEBC000506,Abies lasiocarpa / Oplopanax horridus - Rhododendron albiflorum,subalpine fir / devil's club - white-flowered rhododendron,ESSFmv2/05; ESSFmv3/05; ESSFwk2/04,S5 (2001),Yellow,GNR,N/A,N/A,,,,
CEBC000212,Abies lasiocarpa / Parnassia fimbriata - Equisetum spp.,subalpine fir / fringed grass-of-Parnassus - horsetails,ESSFwc2/00,SNR (2004),Not Reviewed,GNR,N/A,N/A,,,,
CEBC000504,Abies lasiocarpa - Picea mariana / Rhododendron groenlandicum,subalpine fir - black spruce / Labrador-tea,ESSFmv2/03; ESSFmv3/03; ESSFmv4/03,S4 (2002),Yellow,GNR,N/A,N/A,,,,
CEBC000192,Abies lasiocarpa - Pinus albicaulis / Juniperus communis,subalpine fir - whitebark pine / common juniper,ESSFdv/03; ESSFdv1/,S3 (2009),Blue,G3,N/A,N/A,,,,
CEBC000786,Abies lasiocarpa - Pinus contorta / Cladonia spp.,subalpine fir - lodgepole pine / clad lichens,ESSFwv/02,S4 (2002),Yellow,GNR,N/A,N/A,,,,
CEBC000547,Abies lasiocarpa / Rhododendron albiflorum / Athyrium filix-femina,subalpine fir / white-flowered rhododendron / lady fern,ESSFwc4/05; ESSFwk2/05,S4 (2001),Yellow,GNR,N/A,N/A,,,,
CEBC000204,Abies lasiocarpa / Rhododendron albiflorum / Barbilophozia lycopodioides,subalpine fir / white-flowered rhododendron / common leafy liverwort,ESSFvc/02; ESSFvv/03; ESSFwcw/,S4S5 (2001),Yellow,GNR,N/A,N/A,,,,
CEBC000005,Abies lasiocarpa / Rhododendron albiflorum / Clintonia uniflora,subalpine fir / white-flowered rhododendron / queen's cup,ESSFwc3/02,S4S5 (2001),Yellow,GNR,N/A,N/A,,,,
CEBC000191,Abies lasiocarpa / Rhododendron albiflorum / Dicranum fuscescens,subalpine fir / white-flowered rhododendron / curly heron's-bill moss,ESSFdv/01; ESSFdv1/; ESSFwc2/04; ESSFwm/02,S5 (2001),Yellow,GNR,N/A,N/A,,,,
CEBC000004,Abies lasiocarpa / Rhododendron albiflorum / Gymnocarpium dryopteris,subalpine fir / white-flowered rhododendron / oak fern,ESSFdc2/06; ESSFwc1/01; ESSFwc2/01; ESSFwc3/01; ESSFwc4/01,S5 (2001),Yellow,GNR,N/A,N/A,,,,
CEBC000365,Abies lasiocarpa / Rhododendron albiflorum / Luzula parviflora,subalpine fir / white-flowered rhododendron / small-flowered wood-rush,ESSFwc4/03,S4 (2001),Yellow,GNR,N/A,N/A,,,,
CEBC000364,Abies lasiocarpa / Rhododendron albiflorum - Paxistima myrsinites,subalpine fir / white-flowered rhododendron - falsebox,ESSFwc4/02; ESSFwm/03,S5 (2001),Yellow,GNR,N/A,N/A,,,,
CEBC000497,Abies lasiocarpa / Rhododendron albiflorum / Pleurozium schreberi,subalpine fir / white-flowered rhododendron / red-stemmed feathermoss,ESSFmv1/01; ESSFmv2/01; ESSFmv2/02; ESSFmv3/01; ESSFmv3/08; ESSFmv4/01; ESSFmv4/04,S5 (2001),Yellow,GNR,N/A,N/A,,,,
CEBC000208,Abies lasiocarpa / Rhododendron albiflorum / Tiarella trifoliata,subalpine fir / white-flowered rhododendron / three-leaved foamflower,ESSFvv/01; ESSFwc4/04; ESSFwcw/,S5 (2001),Yellow,GNR,N/A,N/A,,,,
CEBC000177,Abies lasiocarpa / Rhododendron albiflorum / Vaccinium scoparium,subalpine fir / white-flowered rhododendron / grouseberry,ESSFdc1/01; ESSFdc2/01; ESSFxc/06; ESSFxc3/; ESSFxv1/06; ESSFxv2/06,S5 (2001),Yellow,GNR,N/A,N/A,,,,
CEBC000180,Abies lasiocarpa / Rhododendron albiflorum / Valeriana sitchensis,subalpine fir / white-flowered rhododendron / sitka valerian,ESSFdc1/04; ESSFdc2/07,S3 (2004),Blue,GNR,N/A,N/A,,,,
CEBC000181,Abies lasiocarpa/Rhododendron columbianum / Vaccinium scoparium,subalpine fir / trapper's-tea / grouseberry,ESSFdc1/05; ESSFdc2/08,S5 (2001),Yellow,GNR,N/A,N/A,,,,
CEBC000200,Abies lasiocarpa / Ribes lacustre / Valeriana sitchensis,subalpine fir / black gooseberry / Sitka valerian,ESSFmw/06,S5 (2001),Yellow,GNR,N/A,N/A,,,,
CEBC000006,Abies lasiocarpa / Trollius albiflorus - Equisetum spp.,subalpine fir / globeflower - horsetails,ESSFwc3/03,S4 (2001),Yellow,GNR,N/A,N/A,,,,
CEBC000781,Abies lasiocarpa - Tsuga mertensiana / Dicranum spp.,subalpine fir - mountain hemlock / heron's-bill mosses,ESSFmk/04,S4 (2001),Yellow,GNR,N/A,N/A,,,,
CEBC000203,Abies lasiocarpa - Tsuga mertensiana / Gymnocarpium dryopteris,subalpine fir - mountain hemlock / oak fern,ESSFvc/03,S5 (2001),Yellow,GNR,N/A,N/A,,,,
CEBC000785,Abies lasiocarpa - Tsuga mertensiana / Menziesia ferruginea,subalpine fir - mountain hemlock / false azalea,ESSFwv/01,S5 (2001),Yellow,GNR,N/A,N/A,,,,
CEBC000787,Abies lasiocarpa - Tsuga mertensiana / Pleurozium schreberi,subalpine fir - mountain hemlock / red-stemmed feathermoss,ESSFwv/03; ESSFwv/04,S4 (2001),Yellow,GNR,N/A,N/A,,,,
CEBC000778,Abies lasiocarpa - Tsuga mertensiana / Streptopus lanceolatus,subalpine fir - mountain hemlock / rosy twistedstalk,ESSFmk/01,S4 (2001),Yellow,GNR,N/A,N/A,,,,
CEBC000193,Abies lasiocarpa / Vaccinium membranaceum / Brachythecium spp.,subalpine fir / black huckleberry / ragged-mosses,ESSFdv/04; ESSFdv1/,S3 (2004),Blue,G3,N/A,N/A,,,,
CEBC000215,Abies lasiocarpa / Vaccinium membranaceum / Dicranum fuscescens,subalpine fir / black huckleberry / curly heron's-bill moss,ESSFmc/01; ESSFmc/04; ESSFwc2/03,S5 (2001),Yellow,GNR,N/A,N/A,,,,
CEBC000770,Abies lasiocarpa / Vaccinium membranaceum / Empetrum nigrum,subalpine fir / black huckleberry / crowberry,ESSFmc/03,S4 (2002),Yellow,GNR,N/A,N/A,,,,
CEBC000353,Abies lasiocarpa / Vaccinium membranaceum - Lonicera utahensis,subalpine fir / black huckleberry - Utah honeysuckle,ESSFdv/00; ESSFdv1/; ESSFwc1/02,S5 (2001),Yellow,GNR,N/A,N/A,,,,
CEBC000209,Abies lasiocarpa/Vaccinium membranaceum/Neoorthocaulis floerkei,subalpine fir / black huckleberry / mountain leafy liverwort,ESSFvv/02; ESSFwcw/,S5 (2001),Yellow,GNR,N/A,N/A,,,,
CEBC000198,Abies lasiocarpa / Vaccinium membranaceum - Paxistima myrsinites,subalpine fir / black huckleberry - falsebox,ESSFmw/04,S5 (2001),Yellow,GNR,N/A,N/A,,,,
CEBC000010,Abies lasiocarpa / Vaccinium membranaceum / Pleurozium schreberi,subalpine fir / black huckleberry / red-stemmed feathermoss,ESSFdc2/05; ESSFmm1/02; ESSFmv1/03; ESSFmv1/04; ESSFwk1/02,S5 (2001),Yellow,GNR,N/A,N/A,,,,
CEBC000772,Abies lasiocarpa / Vaccinium membranaceum - Rubus parviflorus,subalpine fir / black huckleberry - thimbleberry,ESSFmc/05,S4 (2001),Yellow,GNR,N/A,N/A,,,,
CEBC000870,Abies lasiocarpa / Vaccinium membranaceum / Xerophyllum tenax,subalpine fir / black huckleberry / bear-grass,ESSFwc1/00; ESSFwc4/00,S3? (2004),Blue,GNR,N/A,N/A,,,,
CEBC000179,Abies lasiocarpa / Vaccinium scoparium / Cladonia spp.,subalpine fir / grouseberry / clad lichens,ESSFdc1/03; ESSFdc2/04; ESSFxc/05; ESSFxc3/,S5 (2001),Yellow,GNR,N/A,N/A,,,,
CEBC000226,Abies lasiocarpa / Vaccinium scoparium - Tiarella trifoliata,subalpine fir / grouseberry - three-leaved foamflower,ESSFxc/07; ESSFxc3/,S4 (2004),Yellow,GNR,N/A,N/A,,,,
CEBC000222,Abies lasiocarpa / Vaccinium scoparium - Valeriana sitchensis,subalpine fir / grouseberry - Sitka valerian,ESSFxc/01; ESSFxc3/,S3S4 (2010),Yellow,GNR,N/A,N/A,,,,
CEBC000194,Abies lasiocarpa / Valeriana sitchensis - Arnica latifolia,subalpine fir / Sitka valerian - mountain arnica,ESSFdv/05; ESSFdv1/; ESSFmm1/00; ESSFwk2/00; ESSFxv1/07,S4 (2001),Yellow,GNR,N/A,N/A,,,,
CEBC000776,Abies lasiocarpa / Valeriana sitchensis / Drepanocladus spp.,subalpine fir / Sitka valerian / hook-mosses,ESSFmc/08; ESSFwv/07,S4 (2001),Yellow,GNR,N/A,N/A,,,,
CEBC003149,Abies lasiocarpa / Valeriana sitchensis - Equisetum arvense,subalpine fir / sitka valerian - common horsetail,ESSFwc1/04; ESSFwc2/08; ESSFwc2/Ws08; ESSFwc3/03; ESSFwc3/Ws08; ESSFwc4/07; ESSFwc4/112b; ESSFwc4/Ws08; ESSFwc4/Ws08.1; ESSFwcw/Ws08; ESSFwh1/111b; ESSFwh1/Ws08; ESSFwh1/Ws08.2; ESSFwh2/112b; ESSFwh2/Ws08; ESSFwh2/Ws08.2; ESSFwh3/112b; ESSFwh3/Ws08; ESSFwh3/Ws08.2; ESSFwk1/07; ESSFwk1/Ws08; ESSFwk2/06; ESSFwk2/Ws08; ESSFwm1/112b; ESSFwm1/Ws08; ESSFwm2/112b; ESSFwm2/Ws08; ESSFwm2/Ws08.2; ESSFwm3/112b; ESSFwm3/Ws08; ESSFwm3/Ws08.2; ESSFwm4/Ws08; ESSFwv/09; ESSFwv/Ws08; ESSFxc/08; ESSFxc/Ws08; ESSFxc1/112; ESSFxc1/Ws08; ESSFxc2/112; ESSFxc2/Ws08; ESSFxc3/Ws08; ESSFxv1/08; ESSFxv2/08; SBSun/Ws08; ESSFdc1/06; ESSFdc1/112b; ESSFdc1/Ws08; ESSFdc2/112; ESSFdc2/Ws08; ESSFdcw/Ws08; ESSFdk/06; ESSFdk/Ws08; ESSFdk1/111b; ESSFdk1/Ws08; ESSFdk2/112b; ESSFdk2/Ws08; ESSFdv/06; ESSFdv/Ws08; ESSFdv1/Ws08; ESSFmc/09; ESSFmc/10; ESSFmc/Ws08; ESSFmh/112b; ESSFmh/Ws08; ESSFmk/06; ESSFmk/Ws08; ESSFmm/07; ESSFmm/Ws08; ESSFmv/08; ESSFmv1/05; ESSFmv1/Ws08; ESSFmv2/06; ESSFmv2/Ws08; ESSFmv3/07; ESSFmv3/Ws08; ESSFmv4/05; ESSFmv4/Ws08; ESSFmw/08; ESSFmw/Ws08; ESSFmw1/111; ESSFmw1/Ws08; ESSFun/Ws08; ESSFvc/05; ESSFvc/Ws08,S4 (2001),Yellow,GNR,N/A,N/A,,,,
CEBC000218,Abies lasiocarpa / Valeriana sitchensis - Gymnocarpium dryopteris,subalpine fir / Sitka valerian - oak fern,ESSFwc2/06,S5 (2001),Yellow,GNR,N/A,N/A,,,,
CEBC000211,Abies lasiocarpa / Valeriana sitchensis - Senecio triangularis,subalpine fir / Sitka valerian - arrow-leaved groundsel,ESSFvv/04; ESSFwcw/,S3S4 (2004),Yellow,GNR,N/A,N/A,,,,
NBMUS8A010,Abietinella abietina,,,S5 (2024),Yellow,G5 (2015),,,,,,
NFPOL0A010,Abortiporus biennis,,,SU (2021),Unknown,GNR,,,,,,
PDNYC010C0,Abronia latifolia,yellow sand-verbena,CDFmm; CWHvm; CWHxm,S3 (2019),Blue,G5 (2025),,,,,Y,
PDNYC010N2,Abronia umbellata var. breviflora,pink sand-verbena,CWHvh,S1 (2019),Red,G4G5T2 (2014),E,1-E (2005),,,Y,
IILEY8A020,Abrostola urentis,Spectacled Nettle Moth,,S3S4 (2020),Not Reviewed,G5 (2017),,,,,,
NLOST01070,Absconditella amabilis,,,SU (2020),Unknown,GNR,,,,,,
NLOST01080,Absconditella celata,,,SU (2020),Unknown,GNR,,,,,,
NLOST0U010,Absconditella delutula,,,SU (2020),Unknown,GNR,,,,,,
NLVER00760,Absconditella lignicola,,,S4 (2020),Yellow,GNR,,,,,,
NLT0000370,Absconditella sphagnorum,,,SU (2025),Unknown,GNR,,,,,,
NLT0000380,Absconditella trivialis,,,SU (2020),Unknown,GNR,,,,,,
NFAGA56010,Abstoma reticulatum,,,SU (2021),Unknown,GNR,,,,,,
IIHOM4U020,Abstrusomyzus phloxae,,,SNR,Not Reviewed,GNR,,,,,,
PDMAL020N0,Abutilon theophrasti,velvet-leaf,,SNA (2019),Exotic,GNR,,,,,,
IILER73010,Acallis gripalis,,,SU (2020),Unknown,GNR,,,,,,
IICOLHN020,Acalymma vittatum,Striped Cucumber Beetle,,SU (2023),Not Reviewed,G5 (2016),,,,,,
IIHEM34030,Acalypta cooleyi,,,SNR,Not Reviewed,G2 (2001),,,,,,
IIHEM34040,Acalypta elegans,,,SNR,Not Reviewed,GNR,,,,,,
IIHEM34020,Acalypta lillianis,,,SNR,Not Reviewed,G5 (2016),,,,,,
IIHEM34050,Acalypta parvula,,,SNR,Not Reviewed,GNR,,,,,,
IIHEM34060,Acalypta saundersi,,,SNR,Not Reviewed,GNR,,,,,,
ILARABP010,Acalyptonotus neoviolaceus,a water mite,,SNR (2024),Not Reviewed,GNR,,,,,,
ILARABP020,Acalyptonotus pacificus,a water mite,,SNR (2024),Not Reviewed,GNR,,,,,,
IICOLQD030,Acalyptus carpini,A Weevil,,S4S5 (2023),Not Reviewed,G5 (2018),,,,,,
IZSPN22010,Acanthancora cyanocrypta,Blue Encrusting Sponge,,S1 (1997),Not Reviewed,GNR,,,,,,
IZSPNB0010,Acanthascus cf. platei,,,SNR,Not Reviewed,GNR,,,,,,
IRPRT04010,Acanthechiniscus goedeni,a tardigrade,,SU (2022),Unknown,GNR,,,,,,
ICMAL22030,Acanthephyra curtirostris,Peaked Deep-sea Shrimp,,SNR,Not Reviewed,G5 (2016),,,,,,
ABPBY06010,Acanthis flammea,Common Redpoll,,S4 (2015),Yellow,G5,,,,,,
NFRUS06010,Acanthobasidium penicillatum,,,S4 (2021),Yellow,GNR,,,,,,
NFRUS06020,Acanthobasidium weirii,,,S3S4 (2021),Yellow,GNR,,,,,,
IICOL2D040,Acanthocinus obliquus,A Long-horned Beetle,,S4S5 (2023),Not Reviewed,GNR,,,,,,
IICOL2D050,Acanthocinus princeps,Ponderosa Pine Bark Borer,,SU (2023),Not Reviewed,GNR,,,,,,
IICOL2D020,Acanthocinus pusillus,A Longhorned Beetle,,SU (2023),Not Reviewed,G5 (2017),,,,,,
IIHOMR9020,Acanthococcus greeni,,,SNR,Not Reviewed,GNR,,,,,,
IDANT2N040,Acanthogorgia sp. 1,Sea Fan Coral,,SNR (2022),Not Reviewed,GNR,,,,,,
AFC4G21020,Acantholiparis caecus,Fanged Snailfish,,SNR,Not Reviewed,GNR,,,,,,
AFC4G21010,Acantholiparis opercularis,Spiny Snailfish,,SNR,Not Reviewed,GNR,,,,,,
ICMAL23010,Acantholithodes hispidus,Spiny King Crab,,SNR,Not Reviewed,G5 (2016),,,,,,
IIHEM75010,Acantholomidea porosa,,,S1 (2016),Not Reviewed,G5 (1995),,,,,,
ILARA89420,Acantholycosa solituda,Western Alpine Prickly Wolf Spider,,SU (2018),Not Reviewed,GNR,,,,,,
ILARA2G010,Acanthoneta aggressa,Aggressive Variegated Sheetweaver,,SU (2018),Not Reviewed,GNR,,,,,,
ILARA2G060,Acanthoneta furcata,Forked Variegated Sheetweaver,,SNR (2018),Not Reviewed,GNR,,,,,,
NFRUS0X010,Acanthophysium oakesii,,,SU (2025),Unknown,GNR,,,,,,
IILEB05040,Acanthopteroctetes aurulenta,a moth,,SU (2020),Unknown,GNR,,,,,,
IDANT2P010,Acanthoptilum gracile,Frail Sea Pen,,SNR (2022),Not Reviewed,GNR,,,,,,
IICOLBT020,Acanthoscelides aureolus,A Pea and Bean Weevil,,SU (2023),Not Reviewed,GNR,,,,,,
IICOLBT030,Acanthoscelides fraterculus,A Pea and Bean Weevil,,S4S5 (2023),Not Reviewed,GNR,,,,,,
IICOLBT060,Acanthoscelides obtectus,Bean Weevil,,SNA (2023),Exotic,GNR,,,,,,
IICOLBT040,Acanthoscelides pauperculus,A Pea and Bean Weevil,,S4S5 (2023),Not Reviewed,GNR,,,,,,
IICOLBT110,Acanthoscelides pullus,A Leaf Beetle,,SU (2023),Not Reviewed,GNR,,,,,,
IICOLQD060,Acanthoscelidius acephalus,A Weevil,,S4S5 (2023),Not Reviewed,G5 (2018),,,,,,
IZSPN23010,Acarnus erithacus,Red Volcano Horny Sponge,,SNR,Not Reviewed,GNR,,,,,,
NLLEC02040,Acarospora badiofusca,,,SU (2020),Unknown,G3G5 (2001),,,,,,
NLT0000580,Acarospora complanata,,,SU (2025),Unknown,GNR,,,,,,
NLLEC02090,Acarospora elevata,,,SU (2020),Unknown,GNR,,,,,,
NLT0000620,Acarospora fuscata,,,S5 (2020),Yellow,G5 (2015),,,,,,
NLT0000660,Acarospora glaucocarpa,,,S5 (2020),Yellow,G5 (2015),,,,,,
NLT0000720,Acarospora impressula,,,S3S5 (2020),Yellow,GNR,,,,,,
NLT0000770,Acarospora macrospora,,,SU (2020),Unknown,GNR,,,,,,
