"","score_spatial_density","score_spatial_lastupdate","score_spatial_climfreq","score_spatial_completeness","score_spatial_modeldisagree","total","cellID"
"1392",1,1,0.368909512761021,1,0.4173094755556,0.757243797663324,1392
"1393",1,1,0.368909512761021,1,0.429995028401429,0.75978090823249,1393
"1475",1,1,0.976798143851508,1,0.750550050520709,0.945469638874443,1475
"1476",1,1,0.946635730858469,1,0.703805068059257,0.930088159783545,1476
"1477",1,1,0.962877030162413,1,0.606389892533175,0.913853384539118,1477
"1478",1,1,0.962877030162413,1,0.475450401892992,0.887665486411081,1478
"1479",1,1,0.918793503480278,1,0.366996685777815,0.857158037851619,1479
"1480",1,1,0.918793503480278,1,0.340399924515181,0.851838685599092,1480
"1481",1,1,0.918793503480278,1,0.393636742925553,0.862486049281166,1481
"1482",1,1,0.851508120649652,1,0.470597725515761,0.864421169233083,1482
"1483",1,1,0.851508120649652,1,0.510185940616369,0.872338812253204,1483
"1484",1,1,0.851508120649652,1,0.475702466008397,0.86544211733161,1484
"1485",1,1,0.851508120649652,1,0.446890257134757,0.859679675556882,1485
"1486",1,1,0.851508120649652,1,0.481762262790105,0.866654076687951,1486
"1487",1,1,0.851508120649652,1,0.491335039582662,0.868568632046463,1487
"1488",1,1,0.851508120649652,1,0.527999367540502,0.875901497638031,1488
"1489",1,1,0.728538283062645,1,0.551579636572784,0.856023583927086,1489
"1490",1,1,0.835266821345708,1,0.586184933916295,0.884290351052401,1490
"1491",1,1,0.835266821345708,1,0.632483374503923,0.893550039169926,1491
"1492",1,1,0.835266821345708,1,0.678681498808744,0.90278966403089,1492
"1493",1,1,0.835266821345708,1,0.685740072234091,0.90420137871596,1493
"1494",1,1,0.835266821345708,1,0.63609660005267,0.894272684279675,1494
"1495",1,1,0.835266821345708,1,0.571502747467023,0.881353913762546,1495
"1496",1,1,0.728538283062645,1,0.522516919971766,0.850211040606882,1496
"1497",1,1,0.728538283062645,1,0.49548118654071,0.844803893920671,1497
"1526",1,1,0.39907192575406,1,0.337113045237656,0.747236994198343,1526
"1527",1,1,0.39907192575406,1,0.32147435222865,0.744109255596542,1527
"1613",0.719266958439321,0.0833333333333334,0.368909512761021,0.528931743163228,0.45430687055114,0.430949683649609,1613
"1619",0.719266958439321,0,0.737819025522042,0.528931743163228,0.480116240962117,0.493226793617341,1619
"1620",1,1,0.737819025522042,1,0.497020171319412,0.846967839368291,1620
"1632",1,1,0.368909512761021,1,0.481768559087122,0.770135614369629,1632
"1633",1,1,0.368909512761021,1,0.465342935068376,0.766850489565879,1633
"1634",1,1,0.368909512761021,1,0.50050492411105,0.773882887374414,1634
"1635",1,1,0.368909512761021,1,0.527967815310507,0.779375465614306,1635
"1685",1,1,0.368909512761021,1,0.43729866219606,0.761241634991416,1685
"1686",1,1,0.368909512761021,1,0.433411583099536,0.760464219172111,1686
"1770",1,1,0.962877030162413,1,0.62317638633937,0.917210683300357,1770
"1771",1,1,0.962877030162413,1,0.511077043506528,0.894790814733788,1771
"1772",1,1,0.962877030162413,1,0.427883575808566,0.878152121194196,1772
"1773",1,1,0.918793503480278,1,0.395112835478997,0.862781267791855,1773
"1774",0.666150269559686,0.0208333333333334,0.918793503480278,0.358113757235106,0.381965035389257,0.469171179799532,1774
"1775",1,1,0.918793503480278,1,0.382264498594564,0.860211600414968,1775
"1776",1,1,0.918793503480278,1,0.393825631836059,0.862523827063267,1776
"1777",1,1,0.918793503480278,1,0.401519423811004,0.864062585458256,1777
"1778",1,1,0.805104408352668,1,0.458474806941561,0.852715843058846,1778
"1779",1,1,0.851508120649652,1,0.580900855076045,0.886481795145139,1779
"1780",1,1,0.923433874709977,1,0.696417177076456,0.923970210357287,1780
"1781",1,1,0.923433874709977,1,0.739178938108285,0.932522562563652,1781
"1782",1,1,0.923433874709977,1,0.68691733828642,0.922070242599279,1782
"1783",1,1,0.923433874709977,1,0.621061467245902,0.908899068391176,1783
"1784",1,1,0.851508120649652,1,0.644353309278885,0.899172285985707,1784
"1785",1,1,0.835266821345708,1,0.717456996379806,0.910544763545103,1785
"1786",1,1,0.948955916473318,1,0.762122502947852,0.942215683884234,1786
"1787",1,1,0.948955916473318,1,0.72719085933312,0.935229355161288,1787
"1788",1,1,0.835266821345708,1,0.669536516488782,0.900960667566898,1788
"1789",1,1,0.923433874709977,1,0.591220202907014,0.902930815523398,1789
"1790",1,1,0.851508120649652,1,0.501572889276964,0.870616201985323,1790
"1816",1,1,0.303944315545244,1,0.400586227699215,0.740906108648892,1816
"1817",1,1,0.303944315545244,1,0.377573969551744,0.736303657019398,1817
"1818",1,1,0.303944315545244,1,0.351852747299004,0.731159412568849,1818
"1819",1,1,0.39907192575406,1,0.34204141866891,0.748222668884594,1819
"1820",1,1,0.39907192575406,1,0.323614845607192,0.744537354272251,1820
"1821",1,1,0.39907192575406,1,0.301518380323577,0.740118061215527,1821
"1842",1,1,0.368909512761021,1,0.368552578590079,0.74749241827022,1842
"1843",1,1,0.368909512761021,1,0.418917082897294,0.757565319131663,1843
"1874",1,1,0.368909512761021,1,0.433687558994623,0.760519414351129,1874
"1875",1,1,0.368909512761021,1,0.384132305716348,0.750608363695474,1875
"1876",1,1,0.368909512761021,1,0.379283308074453,0.749638564167095,1876
"1910",0.327144175842324,0,0.368909512761021,0.0264989260645698,0.454858539361672,0.235482230805917,1910
"1911",1,1,0.368909512761021,1,0.430362618955356,0.759854426343275,1911
"1912",1,1,0.368909512761021,1,0.396970101609146,0.753175922874033,1912
"1913",1,1,0.368909512761021,1,0.402486648224648,0.754279232197134,1913
"1914",1,1,0.368909512761021,1,0.417340744805953,0.757250051513395,1914
"1915",1,1,0.368909512761021,1,0.448525808716021,0.763487064295408,1915
"1916",1,1,0.368909512761021,1,0.482875504698612,0.770357003491926,1916
"1925",1,1,0.368909512761021,1,0.402326128023173,0.754247128156839,1925
"1926",1,1,0.368909512761021,1,0.4161955969429,0.757021021940784,1926
"2065",1,1,0.962877030162413,1,0.572847891191498,0.907144984270782,2065
"2066",1,1,0.918793503480278,1,0.556569275096359,0.895072555715328,2066
"2067",1,1,0.946635730858469,1,0.603049671593283,0.90993708049035,2067
"2068",1,1,0.946635730858469,1,0.567350728681419,0.902797291907978,2068
"2069",1,1,0.918793503480278,1,0.526983824353122,0.88915546556668,2069
"2070",1,1,0.918793503480278,1,0.524856666390172,0.88873003397409,2070
"2071",1,1,0.918793503480278,1,0.557138559389556,0.895186412573967,2071
"2072",1,1,0.851508120649652,1,0.637692039269792,0.897840031983889,2072
"2073",1,1,0.923433874709977,1,0.726106127623464,0.929908000466688,2073
"2074",1,1,0.965197215777262,1,0.772002383396028,0.947439919834658,2074
"2075",1,1,0.965197215777262,1,0.757878728013587,0.94461518875817,2075
"2076",1,1,0.923433874709977,1,0.69140143368098,0.922967061678191,2076
"2077",1,1,0.851508120649652,1,0.660919149709849,0.9024854540719,2077
"2078",1,1,0.923433874709977,1,0.677548377580443,0.920196450458084,2078
"2079",1,1,0.965197215777262,1,0.702861260210922,0.933611695197637,2079
"2080",1,1,0.965197215777262,1,0.692058441662951,0.931451131488043,2080
"2081",1,1,0.923433874709977,1,0.679476459365804,0.920582066815156,2081
"2082",1,1,0.923433874709977,1,0.65258653119488,0.915204081180971,2082
"2109",1,1,0.303944315545244,1,0.403125686999402,0.741414000508929,2109
"2110",1,1,0.303944315545244,1,0.36227205768823,0.733243274646695,2110
"2111",1,1,0.303944315545244,1,0.330679220115183,0.726924707132085,2111
"2112",1,1,0.39907192575406,1,0.327100836434761,0.745234552437764,2112
"2113",1,1,0.39907192575406,1,0.335352770379531,0.746884939226718,2113
"2116",0.719266958439321,0.0208333333333334,0.39907192575406,0.528931743163228,0.359128790578617,0.405446550253712,2116
"2117",1,1,0.345707656612529,1,0.392083750654611,0.747558281453428,2117
"2168",0.392006129150571,0,0.368909512761021,0.0424567107554907,0.391406651118114,0.238955800757039,2168
"2169",0.466935981291005,0.0208333333333334,0.368909512761021,0.0739831882712564,0.367853760366119,0.259703155204547,2169
"2204",1,1,0.368909512761021,1,0.474390996861225,0.768660101924449,2204
"2205",1,1,0.368909512761021,1,0.457329659078509,0.765247834367906,2205
"2206",1,1,0.368909512761021,1,0.469949277667936,0.767771758085791,2206
"2207",1,1,0.368909512761021,1,0.466650513245481,0.7671120052013,2207
"2208",1,1,0.368909512761021,1,0.467728948658119,0.767327692283828,2208
"2209",1,1,0.368909512761021,1,0.464732972451755,0.766728497042555,2209
"2210",1,1,0.368909512761021,1,0.443821484415692,0.762546199435343,2210
"2211",1,1,0.368909512761021,1,0.435587767285325,0.760899456009269,2211
"2212",1,1,0.368909512761021,1,0.448756295633783,0.763533161678961,2212
"2215",1,1,0.368909512761021,1,0.451853790786431,0.76415266070949,2215
"2216",1,1,0.368909512761021,1,0.436862944293512,0.761154491410907,2216
"2217",1,1,0.368909512761021,1,0.410868434452276,0.75595558944266,2217
"2218",1,1,0.368909512761021,1,0.416248231156165,0.757031548783437,2218
"2219",1,1,0.368909512761021,1,0.444171954701326,0.76261629349247,2219
"2360",1,1,0.967517401392111,1,0.812421497468128,0.955987779772048,2360
"2361",1,1,0.967517401392111,1,0.818208360385892,0.957145152355601,2361
"2362",1,1,0.967517401392111,1,0.769032299826834,0.947309940243789,2362
"2363",1,1,0.946635730858469,1,0.677964074673375,0.924919961106369,2363
"2364",1,1,0.946635730858469,1,0.571113933440005,0.903549932859695,2364
"2365",1,1,0.946635730858469,1,0.549776490299016,0.899282444231497,2365
"2366",1,1,0.946635730858469,1,0.60158779876681,0.909644705925056,2366
"2367",1,1,0.923433874709977,1,0.685003122503478,0.921687399442691,2367
"2368",1,1,0.965197215777262,1,0.737915363265387,0.94062251580853,2368
"2369",1,1,0.923433874709977,1,0.729917934135427,0.930670361769081,2369
"2370",1,1,0.923433874709977,1,0.686677866765049,0.922022348295005,2370
"2371",1,1,0.923433874709977,1,0.638044914882377,0.912295757918471,2371
"2372",1,1,0.923433874709977,1,0.632696811898304,0.911226137321656,2372
"2373",1,1,0.923433874709977,1,0.646284433095389,0.913943661561073,2373
"2374",1,1,0.923433874709977,1,0.659849345176267,0.916656643977249,2374
"2375",1,1,0.923433874709977,1,0.65510073456209,0.915706921854413,2375
"2399",1,1,0.948955916473318,1,0.627510856248641,0.915293354544392,2399
"2400",1,1,0.835266821345708,1,0.595988551351166,0.886251074539375,2400
"2401",1,1,0,1,0.538433605105802,0.70768672102116,2401
"2402",1,1,0.303944315545244,1,0.485137007246224,0.757816264558294,2402
"2403",1,1,0.303944315545244,1,0.418177727839732,0.744424408676995,2403
"2404",1,1,0.345707656612529,1,0.35445290573223,0.740032112468952,2404
"2405",0.719266958439321,0.0625,0.412993039443155,0.528931743163228,0.303597962334349,0.405457940676011,2405
"2408",1,1,0.345707656612529,1,0.35848444593559,0.740838420509624,2408
"2409",1,1,0.345707656612529,1,0.372971659412071,0.74373586320492,2409
"2410",1,1,0.345707656612529,1,0.398672365640824,0.748876004450671,2410
"2411",1,1,0.345707656612529,1,0.437119465338266,0.756565424390159,2411
"2444",1,1,0.624129930394432,1,0.367680576825701,0.798362101444027,2444
"2445",1,1,0.624129930394432,1,0.366936411114238,0.798213268301734,2445
"2446",1,1,0.624129930394432,1,0.354341623988326,0.795694310876552,2446
"2497",1,1,0.737819025522042,1,0.542958025099233,0.856155410124255,2497
"2498",1,1,0.368909512761021,1,0.585281096942281,0.79083812194066,2498
"2499",1,1,0.368909512761021,1,0.600972318047186,0.793976366161641,2499
"2502",1,1,0.368909512761021,1,0.564685131206164,0.786718928793437,2502
"2503",1,1,0.368909512761021,1,0.50986037253916,0.775753977060036,2503
"2504",1,1,0.368909512761021,1,0.470320546957199,0.767846011943644,2504
"2505",1,1,0.368909512761021,1,0.455238651764723,0.764829632905149,2505
"2506",1,1,0.368909512761021,1,0.465661570144374,0.766914216581079,2506
"2507",1,1,0.368909512761021,1,0.472920139431144,0.768365930438433,2507
"2508",1,1,0.368909512761021,1,0.49046692878835,0.771875288309874,2508
"2509",1,1,0.368909512761021,1,0.514827372691439,0.776747377090492,2509
"2510",1,1,0.368909512761021,1,0.504403888352505,0.774662680222705,2510
"2511",1,1,0.368909512761021,1,0.473106340035058,0.768403170559216,2511
"2655",1,1,0.967517401392111,1,0.850163977858965,0.963536275850215,2655
"2656",1,1,0.967517401392111,1,0.774103153507435,0.948324110979909,2656
"2657",1,1,0.967517401392111,1,0.670794502483765,0.927662380775175,2657
"2658",1,1,0.946635730858469,1,0.584630031532775,0.906253152478249,2658
"2659",1,1,0.946635730858469,1,0.541917933427978,0.897710732857289,2659
"2660",1,1,0.946635730858469,1,0.530041207141628,0.895335387600019,2660
"2661",1,1,0.946635730858469,1,0.599082650748119,0.909143676321318,2661
"2662",1,1,0.967517401392111,1,0.66079287004496,0.925662054287414,2662
"2663",1,1,0.967517401392111,1,0.656022187018769,0.924707917682176,2663
"2664",1,1,0.946635730858469,1,0.586454047555082,0.90661795568271,2664
"2665",1,1,0.946635730858469,1,0.586030356287286,0.906533217429151,2665
"2666",1,1,0.946635730858469,1,0.60983396700139,0.911293939571972,2666
"2667",1,1,0.946635730858469,1,0.652703260296878,0.919867798231069,2667
"2668",1,1,0.851508120649652,1,0.64779038000098,0.899859700130126,2668
"2692",1,1,0.948955916473318,1,0.688111512372312,0.927413485769126,2692
"2693",1,1,0.948955916473318,1,0.685149564467803,0.926821096188224,2693
"2694",1,1,0.835266821345708,1,0.668270536318934,0.900707471532928,2694
"2695",1,1,0.835266821345708,1,0.629458534374156,0.892945071143973,2695
"2696",1,1,0.303944315545244,1,0.558434535401372,0.772475770189323,2696
"2697",1,1,0.345707656612529,1,0.482914626634008,0.765724456649308,2697
"2700",1,1,0.345707656612529,1,0.349559338796845,0.739053399081875,2700
"2701",1,1,0.345707656612529,1,0.363090010341137,0.741759533390733,2701
"2702",1,1,0.303944315545244,1,0.382851115390785,0.737359086187206,2702
"2703",1,1,0.345707656612529,1,0.393645161569879,0.747870563636482,2703
"2704",1,1,0.345707656612529,1,0.419710274831596,0.753083586288825,2704
"2737",1,1,0.624129930394432,1,0.367061700350382,0.798238326148963,2737
"2738",1,1,0.624129930394432,1,0.384824049449277,0.801790795968742,2738
"2739",1,1,0.624129930394432,1,0.37894726975052,0.80061544002899,2739
"2790",1,1,0.737819025522042,1,0.534959251815978,0.854555655467604,2790
"2791",1,1,0.737819025522042,1,0.592563295029091,0.866076464110227,2791
"2792",1,1,0.737819025522042,1,0.593924427103295,0.866348690525067,2792
"2793",1,1,0.737819025522042,1,0.58035343096013,0.863634491296434,2793
"2797",1,1,0.368909512761021,1,0.545322532236245,0.782846408999453,2797
"2798",1,1,0.368909512761021,1,0.509963872342932,0.775774677020791,2798
"2799",1,1,0.368909512761021,1,0.51920874647624,0.777623651847452,2799
"2821",1,1,0.39907192575406,1,0.439770984576372,0.767768582066086,2821
"2822",1,1,0.39907192575406,1,0.463495078011297,0.772513400753072,2822
"2948",1,1,0.983758700696056,1,0.901045556715576,0.976960851482326,2948
"2949",1,1,0.983758700696056,1,0.869009502279489,0.970553640595109,2949
"2950",1,1,0.967517401392111,1,0.808021659261738,0.95510781213077,2950
"2951",1,1,0.967517401392111,1,0.708898347876423,0.935283149853707,2951
"2952",1,1,0.946635730858469,1,0.577870213863632,0.90490118894442,2952
"2953",1,1,0.962877030162413,1,0.409188313577522,0.874413068747987,2953
"2954",1,1,0.962877030162413,1,0.404637434987638,0.87350289303001,2954
"2955",1,1,0.918793503480278,1,0.489525172542415,0.881663735204539,2955
"2985",1,1,1,1,0.75062298852323,0.950124597704646,2985
"2986",1,1,0.948955916473318,1,0.754369285248254,0.940665040344314,2986
"2987",1,1,0.948955916473318,1,0.730353227568513,0.935861828808366,2987
"2988",1,1,0.835266821345708,1,0.686576064839125,0.904368577236967,2988
"2989",1,1,0.728538283062645,1,0.644311286802166,0.874569913972962,2989
"2990",1,1,0.303944315545244,1,0.578464117385615,0.776481686586172,2990
